visitor_id,Paths_journey
00Bff0D9hiF3DkBEFfCnCFE30,Start > Instagram > Facebook > Conversion
00Bfn30fB7ofC77hEBFhD7o99,Start > Instagram > NULL
00Bfo7iFkfCi3k30f7EkAffAA,Start > Youtube > Conversion
00BfohEkD077AoBB7FACBfDE3,Start > Facebook > NULL
00Bh9kkn9DAonk90BC97hkDn3,Start > Facebook > Youtube > NULL
00BhnB3fiD7AnkE3i9ioBko0f,Start > Youtube > NULL
00Bi900nACknBFhhh3FhADB90,Start > Instagram > Facebook > Conversion
00BiFCFDfnn9BhoE9hnkDEoFE,Start > Youtube > NULL
00Bin0fiEDi7CF70Cnh7hofhA,Start > Youtube > NULL
00Bk3BBoEBnkD77nB9Doh0FAf,Start > Youtube > Conversion
00BkD03C3CBih07h0DFiBi3kB,Start > Youtube > NULL
00BkDkhAiChoiA7fDnEf3in7n,Start > Youtube > Conversion
00BnC07kkhA33nAnfFkDfE0k3,Start > Facebook > Instagram > NULL
00BnCDnDB3n79oh70AfhkDonC,Start > Youtube > Facebook > NULL
00BniF3BofCAkDn3i0AAE7fh0,Start > Youtube > Conversion
00Bo3o3oAo379FhoBEAkDFAEi,Start > Facebook > NULL
00BoB7CEDFCConffAiAf77Fkh,Start > Facebook > Conversion
00BoEoFE3ni09kfk3fAB3iAf9,Start > Youtube > NULL
00BoFF7EFBkDC33F0k793fk3D,Start > Youtube > NULL
00Boh9oDFCnE7DDhkA3fFoBCA,Start > Instagram > Conversion
00BoiEf30nC3hCAhB9iof9fC3,Start > Youtube > NULL
00BooE7DikDiC7nEo0iA339En,Start > Facebook > Youtube > Instagram > Conversion
00C0Dn9fEA3kD0AA3Bf9A7fiF,Start > Facebook > NULL
00C0iBCiFniECFFEFnB7h90FC,Start > Youtube > NULL
00C0o7oo7kDE0Do0fFnEf9BC9,Start > Facebook > Conversion
00C37fi97oF7Ck733Eonif39h,Start > Youtube > Facebook > Conversion
00C3CoD9C3nhnEE3fi7Ah9nAf,Start > Facebook > NULL
00C3F7Dh97knCB97Ao7nAE3Dh,Start > Facebook > Conversion
00C3oC3BfC3nA3iAn37B3DkoE,Start > Youtube > Facebook > Conversion
00C7337f9kkCACEoF009A7FBo,Start > Youtube > NULL
00C7DAhEoAhkD3EDikDfBfo0E,Start > Facebook > Youtube > NULL
00C7h7nAhhhAhEBkf0h0nnC9h,Start > Facebook > Conversion
00C7h9n73B0A7nE7FF73337i0,Start > Youtube > Conversion
00C93B9AkF33D97EkfEEDBo7h,Start > Youtube > NULL
00C997fkCD7Fi390FfAEoDf97,Start > Instagram > Youtube > Conversion
00C9BEkFiFFnkhBiCkD9i90BD,Start > Facebook > Conversion
00C9hkEi9kCkB70hhCf9FkE3C,Start > Youtube > NULL
00C9i0BE93nkF3k3EE33Dhi9f,Start > Youtube > Conversion
00C9if39F3hnCo7AoC7n7FhEE,Start > Instagram > NULL
00C9k9ffiC3ik7Bfo00AAF7Ai,Start > Youtube > NULL
00C9kh93of00393hC7hCfhf7B,Start > Youtube > NULL
00CAE0Ch07En7FioCin99hh7E,Start > Youtube > Conversion
00CAEAk7oho3iDifiB0970BiE,Start > Instagram > NULL
00CAfE3F3DnEkhEA9EED0knoD,Start > Facebook > NULL
00CAh3FBCoA3B07ifnknk3B0i,Start > Facebook > Instagram > Conversion
00CB3nfEhEh3oFkAFo0o9FfBi,Start > Facebook > NULL
00CBBA7ooniAh7ABB3EEkkAi7,Start > Youtube > Instagram > Conversion
00CBFF00hFDiC3AC3nE0no0n7,Start > Youtube > Facebook > Conversion
00CBFho33D7ffBBB3hkhBi99k,Start > Youtube > NULL
00CCD3n73E0k7nnCkFhCoA0k7,Start > Youtube > NULL
00CCF9799fEECEiFABDAohfon,Start > Facebook > NULL
00CCFFDD7ko3Co3E33ACA097D,Start > Youtube > Facebook > Conversion
00CCf0FFoF7fEAB7fnAABoDoh,Start > Facebook > Instagram > NULL
00CCfF7h7k0fEEEi73fBBhD9B,Start > Youtube > NULL
00CDC7nkho0CACoB9in3En9Ff,Start > Youtube > Conversion
00CDCi773CCo90oBCED7fh7h0,Start > Youtube > NULL
00CEAAfB3AnhfEkf0BiA0oDEC,Start > Youtube > NULL
00CEihEnfkihB77ooB79F9okF,Start > Instagram > Facebook > Conversion
00CF7FhBhfokkfFCf3fAB07Fo,Start > Facebook > NULL
00CFAEfCAo9Cn7iAEf3FfoC7A,Start > Youtube > Conversion
00CFFBA7D9oChADBofD7FFo7B,Start > Youtube > Conversion
00CFFE0n9Di039h007EE7o0Ck,Start > Youtube > NULL
00CFhDAEAFkf0Ah73AD77C0no,Start > Facebook > Conversion
00CfnChoiAD0Co7EiffD9hh0o,Start > Youtube > NULL
00ChA0o97of7Eio3fAkAiDFfo,Start > Instagram > NULL
